,Sr. no,Name,Price,Date,publisher,Link to steam,Reviews
0,1,Action Taimanin,0.0,"5 Oct, 2020", Infini-Brain inc.,https://store.steampowered.com/app/1335200/Action_Taimanin/?snr=1_7_7_151_150_1,Mostly Positive - 78% of the 232 user reviews in the last 30 days are positive.
1,2,Naval Action,0.0,"13 Jun, 2019", Game-Labs,https://store.steampowered.com/app/311310/Naval_Action/?snr=1_7_7_151_150_1,Mixed - 60% of the 143 user reviews in the last 30 days are positive.
2,3,Out of Action,0.0,Q4 2024, Doku Games LTD,https://store.steampowered.com/app/1670780/Out_of_Action/?snr=1_7_7_151_150_1,No user reviews
3,4,Maximum Action,459.0,"19 Sep, 2018", Balloon Moose Games,https://store.steampowered.com/app/853770/Maximum_Action/?snr=1_7_7_151_150_1,Very Positive - 90% of the 51 user reviews in the last 30 days are positive.
4,5,Remnant II,2900.0,"25 Jul, 2023",Failed to fetch,https://store.steampowered.com/app/1282100/Remnant_II/?snr=1_7_7_151_150_1,Failed to fetch
5,6,Counter-Strike: Global Offensive,1190.0,"21 Aug, 2012", Valve,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/?snr=1_7_7_151_150_1,"Very Positive - 90% of the 83,974 user reviews in the last 30 days are positive."
6,7,ACTION SANDBOX,349.0,"21 Apr, 2022", Vona Soft,https://store.steampowered.com/app/1381650/ACTION_SANDBOX/?snr=1_7_7_151_150_1,Very Positive - 85% of the 14 user reviews in the last 30 days are positive.
7,8,Apex Legends™,0.0,"4 Nov, 2020", Electronic Arts,https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_151_150_1,"Mostly Positive - 70% of the 15,599 user reviews in the last 30 days are positive."
8,9,Baldur's Gate 3,2999.0,"6 Oct, 2020",Failed to fetch,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_151_150_1,Failed to fetch
9,10,BattleBit Remastered,990.0,"15 Jun, 2023", SgtOkiDoki,https://store.steampowered.com/app/671860/BattleBit_Remastered/?snr=1_7_7_151_150_1,"Very Positive - 89% of the 35,944 user reviews in the last 30 days are positive."
