,Sr. no,Name,Price,Date,publisher,Link to steam,Reviews
0,1,FANTASY,1123.0,,Failed to fetch,https://store.steampowered.com/bundle/13539/FANTASY/?snr=1_7_7_151_150_1,Failed to fetch
1,2,FINAL FANTASY XIV Online,719.0,"18 Feb, 2014",Failed to fetch,https://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/?snr=1_7_7_151_150_1,Failed to fetch
2,3,Baldur's Gate 3,2999.0,"6 Oct, 2020",Failed to fetch,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_151_150_1,Failed to fetch
3,4,The Elder Scrolls® Online,1599.0,"22 May, 2017",Failed to fetch,https://store.steampowered.com/app/306130/The_Elder_Scrolls_Online/?snr=1_7_7_151_150_1,Failed to fetch
4,5,FINAL FANTASY VII REMAKE INTERGRADE,4799.0,"17 Jun, 2022", Square Enix,https://store.steampowered.com/app/1462040/FINAL_FANTASY_VII_REMAKE_INTERGRADE/?snr=1_7_7_151_150_1,Very Positive - 89% of the 895 user reviews in the last 30 days are positive.
5,6,ELDEN RING,3599.0,"24 Feb, 2022",Failed to fetch,https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_151_150_1,Failed to fetch
6,7,The Witcher® 3: Wild Hunt,240.0,"18 May, 2015", CD PROJEKT RED,https://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/?snr=1_7_7_151_150_1,"Overwhelmingly Positive - 95% of the 6,424 user reviews in the last 30 days are positive.

This product has experienced one or more periods of off-topic review activity. Based on your preferences, the reviews within these periods have been excluded from this product's Review Score."
7,8,Yu-Gi-Oh! Master Duel,0.0,"18 Jan, 2022", Konami Digital Entertainment,https://store.steampowered.com/app/1449850/YuGiOh_Master_Duel/?snr=1_7_7_151_150_1,"Mostly Positive - 70% of the 1,079 user reviews in the last 30 days are positive."
8,9,MONSTER HUNTER RISE,959.0,"12 Jan, 2022"," CAPCOM Co., Ltd.",https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_151_150_1,"Very Positive - 86% of the 1,169 user reviews in the last 30 days are positive."
9,10,Hogwarts Legacy,2999.0,"10 Feb, 2023", Warner Bros. Games,https://store.steampowered.com/app/990080/Hogwarts_Legacy/?snr=1_7_7_151_150_1,"Very Positive - 86% of the 3,689 user reviews in the last 30 days are positive."
